periodo,indicator_id,meta,realizado,fuente
2023-04,I003,220.0,213.437,SIMULADO
2023-04,I004,93.0,94.075,SIMULADO
2023-04,I004A,92.5,94.164,SIMULADO
2023-04,I004B,93.5,94.002,SIMULADO
2023-04,I005,5.0,5.244,SIMULADO
2023-04,I006,44.0,49.958,SIMULADO
2023-04,I007,10.0,10.903,SIMULADO
2023-05,I001,430.0,525.0,SIMULADO
2023-05,I001A,230.0,216.0,SIMULADO
2023-05,I001B,180.0,234.0,SIMULADO
2023-05,I001C,70.0,75.0,SIMULADO
2023-05,I002,45.0,46.607,SIMULADO
2023-05,I003,220.0,218.46,SIMULADO
2023-05,I004,93.0,93.979,SIMULADO
2023-05,I004A,92.5,93.717,SIMULADO
2023-05,I004B,93.5,94.194,SIMULADO
2023-05,I005,5.0,5.055,SIMULADO
2023-05,I006,44.0,52.779,SIMULADO
2023-05,I007,10.0,10.146,SIMULADO
2023-06,I001,430.0,516.0,SIMULADO
2023-06,I001A,230.0,220.0,SIMULADO
2023-06,I001B,180.0,219.0,SIMULADO
2023-06,I001C,70.0,77.0,SIMULADO
2023-06,I002,45.0,45.248,SIMULADO
2023-06,I003,220.0,213.628,SIMULADO
2023-06,I004,93.0,94.191,SIMULADO
2023-06,I004A,92.5,94.155,SIMULADO
2023-06,I004B,93.5,94.221,SIMULADO
2023-06,I005,5.0,4.656,SIMULADO
2023-06,I006,44.0,38.717,SIMULADO
2023-06,I007,10.0,10.387,SIMULADO
2023-07,I001,430.0,493.0,SIMULADO
2023-07,I001A,230.0,238.0,SIMULADO
2023-07,I001B,180.0,179.0,SIMULADO
2023-07,I001C,70.0,76.0,SIMULADO
2023-07,I002,45.0,47.108,SIMULADO
2023-07,I003,220.0,210.365,SIMULADO
2023-07,I004,93.0,93.493,SIMULADO
2023-07,I004A,92.5,93.01,SIMULADO
2023-07,I004B,93.5,93.888,SIMULADO
2023-07,I005,5.0,4.467,SIMULADO
2023-07,I006,44.0,43.289,SIMULADO
2023-07,I007,10.0,11.458,SIMULADO
2023-08,I001,430.0,453.0,SIMULADO
2023-08,I001A,230.0,210.0,SIMULADO
2023-08,I001B,180.0,182.0,SIMULADO
2023-08,I001C,70.0,61.0,SIMULADO
2023-08,I002,45.0,45.789,SIMULADO
2023-08,I003,220.0,204.857,SIMULADO
2023-08,I004,93.0,92.451,SIMULADO
2023-08,I004A,92.5,91.832,SIMULADO
2023-08,I004B,93.5,92.958,SIMULADO
2023-08,I005,5.0,3.906,SIMULADO
2023-08,I006,44.0,42.113,SIMULADO
2023-08,I007,10.0,10.496,SIMULADO
2023-09,I001,430.0,439.0,SIMULADO
2023-09,I001A,230.0,205.0,SIMULADO
2023-09,I001B,180.0,169.0,SIMULADO
2023-09,I001C,70.0,65.0,SIMULADO
2023-09,I002,45.0,46.851,SIMULADO
2023-09,I003,220.0,201.105,SIMULADO
2023-09,I004,93.0,92.52,SIMULADO
2023-09,I004A,92.5,91.52,SIMULADO
2023-09,I004B,93.5,93.339,SIMULADO
2023-09,I005,5.0,3.994,SIMULADO
2023-09,I006,44.0,40.524,SIMULADO
2023-09,I007,10.0,9.345,SIMULADO
2023-10,I001,430.0,402.0,SIMULADO
2023-10,I001A,230.0,181.0,SIMULADO
2023-10,I001B,180.0,168.0,SIMULADO
2023-10,I001C,70.0,53.0,SIMULADO
2023-10,I002,45.0,47.033,SIMULADO
2023-10,I003,220.0,206.055,SIMULADO
2023-10,I004,93.0,93.331,SIMULADO
2023-10,I004A,92.5,93.291,SIMULADO
2023-10,I004B,93.5,93.364,SIMULADO
2023-10,I005,5.0,3.883,SIMULADO
2023-10,I006,44.0,45.384,SIMULADO
2023-10,I007,10.0,9.14,SIMULADO
2023-11,I001,430.0,480.0,SIMULADO
2023-11,I001A,230.0,232.0,SIMULADO
2023-11,I001B,180.0,188.0,SIMULADO
2023-11,I001C,70.0,60.0,SIMULADO
2023-11,I002,45.0,50.571,SIMULADO
2023-11,I003,220.0,209.589,SIMULADO
2023-11,I004,93.0,94.138,SIMULADO
2023-11,I004A,92.5,93.508,SIMULADO
2023-11,I004B,93.5,94.653,SIMULADO
2023-11,I005,5.0,4.012,SIMULADO
2023-11,I006,44.0,41.032,SIMULADO
2023-11,I007,10.0,10.157,SIMULADO
2023-12,I001,430.0,504.0,SIMULADO
2023-12,I001A,230.0,247.0,SIMULADO
2023-12,I001B,180.0,190.0,SIMULADO
2023-12,I001C,70.0,67.0,SIMULADO
2023-12,I002,45.0,49.558,SIMULADO
2023-12,I003,220.0,220.072,SIMULADO
2023-12,I004,93.0,93.778,SIMULADO
2023-12,I004A,92.5,92.726,SIMULADO
2023-12,I004B,93.5,94.638,SIMULADO
2023-12,I005,5.0,3.911,SIMULADO
2023-12,I006,44.0,47.901,SIMULADO
2023-12,I007,10.0,9.798,SIMULADO
2024-01,I001,470.0,539.0,SIMULADO
2024-01,I001A,250.0,252.0,SIMULADO
2024-01,I001B,200.0,219.0,SIMULADO
2024-01,I001C,90.0,68.0,SIMULADO
2024-01,I002,55.0,50.465,SIMULADO
2024-01,I003,235.0,217.521,SIMULADO
2024-01,I004,93.5,93.402,SIMULADO
2024-01,I004A,93.0,93.07,SIMULADO
2024-01,I004B,94.0,93.673,SIMULADO
2024-01,I005,4.6,4.318,SIMULADO
2024-01,I006,36.0,45.182,SIMULADO
2024-01,I007,11.0,10.83,SIMULADO
2024-02,I001,470.0,621.0,SIMULADO
2024-02,I001A,250.0,301.0,SIMULADO
2024-02,I001B,200.0,226.0,SIMULADO
2024-02,I001C,90.0,94.0,SIMULADO
2024-02,I002,55.0,54.352,SIMULADO
2024-02,I003,235.0,224.931,SIMULADO
2024-02,I004,93.5,94.486,SIMULADO
2024-02,I004A,93.0,94.644,SIMULADO
2024-02,I004B,94.0,94.356,SIMULADO
2024-02,I005,4.6,4.603,SIMULADO
2024-02,I006,36.0,36.482,SIMULADO
2024-02,I007,11.0,12.168,SIMULADO
2024-03,I001,470.0,638.0,SIMULADO
2024-03,I001A,250.0,301.0,SIMULADO
2024-03,I001B,200.0,245.0,SIMULADO
2024-03,I001C,90.0,92.0,SIMULADO
2024-03,I002,55.0,56.162,SIMULADO
2024-03,I003,235.0,222.199,SIMULADO
2024-03,I004,93.5,93.799,SIMULADO
2024-03,I004A,93.0,93.462,SIMULADO
2024-03,I004B,94.0,94.074,SIMULADO
2024-03,I005,4.6,4.485,SIMULADO
2024-03,I006,36.0,44.289,SIMULADO
2024-03,I007,11.0,13.275,SIMULADO
2024-04,I001,470.0,635.0,SIMULADO
2024-04,I001A,250.0,276.0,SIMULADO
2024-04,I001B,200.0,259.0,SIMULADO
2024-04,I001C,90.0,100.0,SIMULADO
2024-04,I002,55.0,59.039,SIMULADO
2024-04,I003,235.0,221.26,SIMULADO
2024-04,I004,93.5,94.253,SIMULADO
2024-04,I004A,93.0,93.763,SIMULADO
2024-04,I004B,94.0,94.655,SIMULADO
2024-04,I005,4.6,5.538,SIMULADO
2024-04,I006,36.0,40.514,SIMULADO
2024-04,I007,11.0,13.176,SIMULADO
2024-05,I001,470.0,623.0,SIMULADO
2024-05,I001A,250.0,304.0,SIMULADO
2024-05,I001B,200.0,215.0,SIMULADO
2024-05,I001C,90.0,104.0,SIMULADO
2024-05,I002,55.0,58.751,SIMULADO
2024-05,I003,235.0,222.336,SIMULADO
2024-05,I004,93.5,94.876,SIMULADO
2024-05,I004A,93.0,94.645,SIMULADO
2024-05,I004B,94.0,95.064,SIMULADO
2024-05,I005,4.6,5.36,SIMULADO
2024-05,I006,36.0,40.18,SIMULADO
2024-05,I007,11.0,11.162,SIMULADO
2024-06,I001,470.0,586.0,SIMULADO
2024-06,I001A,250.0,259.0,SIMULADO
2024-06,I001B,200.0,227.0,SIMULADO
2024-06,I001C,90.0,100.0,SIMULADO
2024-06,I002,55.0,57.952,SIMULADO
2024-06,I003,235.0,222.099,SIMULADO
2024-06,I004,93.5,94.625,SIMULADO
2024-06,I004A,93.0,93.797,SIMULADO
2024-06,I004B,94.0,95.303,SIMULADO
2024-06,I005,4.6,5.15,SIMULADO
2024-06,I006,36.0,35.258,SIMULADO
2024-06,I007,11.0,12.763,SIMULADO
2024-07,I001,470.0,567.0,SIMULADO
2024-07,I001A,250.0,287.0,SIMULADO
2024-07,I001B,200.0,208.0,SIMULADO
2024-07,I001C,90.0,72.0,SIMULADO
2024-07,I002,55.0,54.195,SIMULADO
2024-07,I003,235.0,231.514,SIMULADO
2024-07,I004,93.5,93.883,SIMULADO
2024-07,I004A,93.0,93.697,SIMULADO
2024-07,I004B,94.0,94.035,SIMULADO
2024-07,I005,4.6,3.72,SIMULADO
2024-07,I006,36.0,34.997,SIMULADO
2024-07,I007,11.0,12.25,SIMULADO
2024-08,I001,470.0,493.0,SIMULADO
2024-08,I001A,250.0,246.0,SIMULADO
2024-08,I001B,200.0,189.0,SIMULADO
2024-08,I001C,90.0,58.0,SIMULADO
2024-08,I002,55.0,49.8,SIMULADO
2024-08,I003,235.0,217.714,SIMULADO
2024-08,I004,93.5,93.546,SIMULADO
2024-08,I004A,93.0,93.269,SIMULADO
2024-08,I004B,94.0,93.773,SIMULADO
2024-08,I005,4.6,3.729,SIMULADO
2024-08,I006,36.0,37.483,SIMULADO
2024-08,I007,11.0,12.14,SIMULADO
2024-09,I001,470.0,468.0,SIMULADO
2024-09,I001A,250.0,231.0,SIMULADO
2024-09,I001B,200.0,186.0,SIMULADO
2024-09,I001C,90.0,51.0,SIMULADO
2024-09,I002,55.0,50.542,SIMULADO
2024-09,I003,235.0,223.158,SIMULADO
2024-09,I004,93.5,93.055,SIMULADO
2024-09,I004A,93.0,93.343,SIMULADO
2024-09,I004B,94.0,92.82,SIMULADO
2024-09,I005,4.6,3.429,SIMULADO
2024-09,I006,36.0,33.384,SIMULADO
2024-09,I007,11.0,12.765,SIMULADO
2024-10,I001,470.0,488.0,SIMULADO
2024-10,I001A,250.0,215.0,SIMULADO
2024-10,I001B,200.0,219.0,SIMULADO
2024-10,I001C,90.0,54.0,SIMULADO
2024-10,I002,55.0,50.61,SIMULADO
2024-10,I003,235.0,216.388,SIMULADO
2024-10,I004,93.5,93.848,SIMULADO
2024-10,I004A,93.0,93.944,SIMULADO
2024-10,I004B,94.0,93.769,SIMULADO
2024-10,I005,4.6,3.873,SIMULADO
2024-10,I006,36.0,35.697,SIMULADO
2024-10,I007,11.0,10.206,SIMULADO
2024-11,I001,470.0,491.0,SIMULADO
2024-11,I001A,250.0,271.0,SIMULADO
2024-11,I001B,200.0,178.0,SIMULADO
2024-11,I001C,90.0,42.0,SIMULADO
2024-11,I002,55.0,52.584,SIMULADO
2024-11,I003,235.0,225.53,SIMULADO
2024-11,I004,93.5,93.402,SIMULADO
2024-11,I004A,93.0,93.328,SIMULADO
2024-11,I004B,94.0,93.463,SIMULADO
2024-11,I005,4.6,3.747,SIMULADO
2024-11,I006,36.0,33.834,SIMULADO
2024-11,I007,11.0,11.52,SIMULADO
2024-12,I001,470.0,535.0,SIMULADO
2024-12,I001A,250.0,254.0,SIMULADO
2024-12,I001B,200.0,230.0,SIMULADO
2024-12,I001C,90.0,51.0,SIMULADO
2024-12,I002,55.0,52.852,SIMULADO
2024-12,I003,235.0,226.54,SIMULADO
2024-12,I004,93.5,94.028,SIMULADO
2024-12,I004A,93.0,94.02,SIMULADO
2024-12,I004B,94.0,94.035,SIMULADO
2024-12,I005,4.6,3.546,SIMULADO
2024-12,I006,36.0,32.234,SIMULADO
2024-12,I007,11.0,12.864,SIMULADO
2025-01,I001,520.0,552.0,SIMULADO
2025-01,I001A,275.0,269.0,SIMULADO
2025-01,I001B,220.0,196.0,SIMULADO
2025-01,I001C,110.0,87.0,SIMULADO
2025-01,I002,65.0,62.953,SIMULADO
2025-01,I003,250.0,218.373,SIMULADO
2025-01,I004,94.0,93.635,SIMULADO
2025-01,I004A,93.5,92.87,SIMULADO
2025-01,I004B,94.3,94.262,SIMULADO
2025-01,I005,4.0,3.409,SIMULADO
2025-01,I006,30.0,37.232,SIMULADO
2025-01,I007,12.5,11.993,SIMULADO
2025-02,I001,520.0,636.0,SIMULADO
2025-02,I001A,275.0,294.0,SIMULADO
2025-02,I001B,220.0,243.0,SIMULADO
2025-02,I001C,110.0,99.0,SIMULADO
2025-02,I002,65.0,63.75,SIMULADO
2025-02,I003,250.0,222.837,SIMULADO
2025-02,I004,94.0,94.821,SIMULADO
2025-02,I004A,93.5,94.537,SIMULADO
2025-02,I004B,94.3,95.053,SIMULADO
2025-02,I005,4.0,3.472,SIMULADO
2025-02,I006,30.0,34.4,SIMULADO
2025-02,I007,12.5,14.783,SIMULADO
2025-03,I001,520.0,721.0,SIMULADO
2025-03,I001A,275.0,333.0,SIMULADO
2025-03,I001B,220.0,268.0,SIMULADO
2025-03,I001C,110.0,120.0,SIMULADO
2025-03,I002,65.0,63.626,SIMULADO
2025-03,I003,250.0,223.577,SIMULADO
2025-03,I004,94.0,94.479,SIMULADO
2025-03,I004A,93.5,94.42,SIMULADO
2025-03,I004B,94.3,94.527,SIMULADO
2025-03,I005,4.0,4.144,SIMULADO
2025-03,I006,30.0,36.182,SIMULADO
2025-03,I007,12.5,14.524,SIMULADO
2025-04,I001,520.0,731.0,SIMULADO
2025-04,I001A,275.0,337.0,SIMULADO
2025-04,I001B,220.0,283.0,SIMULADO
2025-04,I001C,110.0,111.0,SIMULADO
2025-04,I002,65.0,65.477,SIMULADO
2025-04,I003,250.0,229.784,SIMULADO
2025-04,I004,94.0,94.615,SIMULADO
2025-04,I004A,93.5,94.369,SIMULADO
2025-04,I004B,94.3,94.816,SIMULADO
2025-04,I005,4.0,3.916,SIMULADO
2025-04,I006,30.0,32.61,SIMULADO
2025-04,I007,12.5,15.143,SIMULADO
2025-05,I001,520.0,734.0,SIMULADO
2025-05,I001A,275.0,335.0,SIMULADO
2025-05,I001B,220.0,283.0,SIMULADO
2025-05,I001C,110.0,116.0,SIMULADO
2025-05,I002,65.0,67.969,SIMULADO
2025-05,I003,250.0,226.376,SIMULADO
2025-05,I004,94.0,95.654,SIMULADO
2025-05,I004A,93.5,94.533,SIMULADO
2025-05,I004B,94.3,96.571,SIMULADO
2025-05,I005,4.0,3.866,SIMULADO
2025-05,I006,30.0,32.564,SIMULADO
2025-05,I007,12.5,14.166,SIMULADO
2025-06,I001,520.0,726.0,SIMULADO
2025-06,I001A,275.0,323.0,SIMULADO
2025-06,I001B,220.0,274.0,SIMULADO
2025-06,I001C,110.0,129.0,SIMULADO
2025-06,I002,65.0,68.674,SIMULADO
2025-06,I003,250.0,222.098,SIMULADO
2025-06,I004,94.0,94.646,SIMULADO
2025-06,I004A,93.5,94.633,SIMULADO
2025-06,I004B,94.3,94.656,SIMULADO
2025-06,I005,4.0,3.114,SIMULADO
2025-06,I006,30.0,28.324,SIMULADO
2025-06,I007,12.5,14.92,SIMULADO
2025-07,I001,520.0,691.0,SIMULADO
2025-07,I001A,275.0,349.0,SIMULADO
2025-07,I001B,220.0,236.0,SIMULADO
2025-07,I001C,110.0,106.0,SIMULADO
2025-07,I002,65.0,69.995,SIMULADO
2025-07,I003,250.0,229.888,SIMULADO
2025-07,I004,94.0,94.721,SIMULADO
2025-07,I004A,93.5,95.05,SIMULADO
2025-07,I004B,94.3,94.452,SIMULADO
2025-07,I005,4.0,3.532,SIMULADO
2025-07,I006,30.0,30.969,SIMULADO
2025-07,I007,12.5,15.948,SIMULADO
2025-08,I001,520.0,597.0,SIMULADO
2025-08,I001A,275.0,267.0,SIMULADO
2025-08,I001B,220.0,218.0,SIMULADO
2025-08,I001C,110.0,112.0,SIMULADO
2025-08,I002,65.0,70.954,SIMULADO
2025-08,I003,250.0,233.69,SIMULADO
2025-08,I004,94.0,94.607,SIMULADO
2025-08,I004A,93.5,93.371,SIMULADO
2025-08,I004B,94.3,95.618,SIMULADO
2025-08,I005,4.0,3.164,SIMULADO
2025-08,I006,30.0,22.048,SIMULADO
2025-08,I007,12.5,15.013,SIMULADO
2025-09,I001,520.0,578.0,SIMULADO
2025-09,I001A,275.0,253.0,SIMULADO
2025-09,I001B,220.0,234.0,SIMULADO
2025-09,I001C,110.0,91.0,SIMULADO
2025-09,I002,65.0,67.123,SIMULADO
2025-09,I003,250.0,238.12,SIMULADO
2025-09,I004,94.0,94.392,SIMULADO
2025-09,I004A,93.5,93.959,SIMULADO
2025-09,I004B,94.3,94.746,SIMULADO
2025-09,I005,4.0,2.576,SIMULADO
2025-09,I006,30.0,25.983,SIMULADO
2025-09,I007,12.5,14.798,SIMULADO
2025-10,I001,520.0,550.0,SIMULADO
2025-10,I001A,275.0,242.0,SIMULADO
2025-10,I001B,220.0,210.0,SIMULADO
2025-10,I001C,110.0,98.0,SIMULADO
2025-10,I002,65.0,65.516,SIMULADO
2025-10,I003,250.0,232.64,SIMULADO
2025-10,I004,94.0,93.09,SIMULADO
2025-10,I004A,93.5,93.609,SIMULADO
2025-10,I004B,94.3,92.664,SIMULADO
2025-10,I005,4.0,2.632,SIMULADO
2025-10,I006,30.0,21.928,SIMULADO
2025-10,I007,12.5,14.839,SIMULADO
2025-11,I001,520.0,575.0,SIMULADO
2025-11,I001A,275.0,286.0,SIMULADO
2025-11,I001B,220.0,195.0,SIMULADO
2025-11,I001C,110.0,94.0,SIMULADO
2025-11,I002,65.0,64.97,SIMULADO
2025-11,I003,250.0,233.329,SIMULADO
2025-11,I004,94.0,93.51,SIMULADO
2025-11,I004A,93.5,93.877,SIMULADO
2025-11,I004B,94.3,93.21,SIMULADO
2025-11,I005,4.0,2.82,SIMULADO
2025-11,I006,30.0,25.816,SIMULADO
2025-11,I007,12.5,14.33,SIMULADO
2025-12,I001,520.0,636.0,SIMULADO
2025-12,I001A,275.0,316.0,SIMULADO
2025-12,I001B,220.0,213.0,SIMULADO
2025-12,I001C,110.0,107.0,SIMULADO
2025-12,I002,65.0,70.318,SIMULADO
2025-12,I003,250.0,238.143,SIMULADO
2025-12,I004,94.0,94.395,SIMULADO
2025-12,I004A,93.5,95.035,SIMULADO
2025-12,I004B,94.3,93.871,SIMULADO
2025-12,I005,4.0,2.863,SIMULADO
2025-12,I006,30.0,25.169,SIMULADO
2025-12,I007,12.5,15.347,SIMULADO
